階,系統コード,系統名称,IFC系統分類,外径_mm,方向区分,本数,長さ_m
2FL,CHR 1,M032_CHR冷温水(還),HEATING,60.5,水平管,1,0.102
2FL,R 12,M091_R冷媒2way,HEATING,100.0,水平管,6,18.649
2FL,R 15,M091_R冷媒2way,HEATING,100.0,水平管,5,5.7
2FL,－ 11,M112_W加湿給水,DOMESTICCOLDWATER,27.2,水平管,1,0.146
2FL,D 16,M121_Dドレン,SEWAGE,48.6,水平管,1,2.821
2FL,D 35,M121_Dドレン,SEWAGE,34.0,水平管,1,0.297
2FL,D 37,M121_Dドレン,SEWAGE,48.6,水平管,1,0.166
2FL,D 38,M121_Dドレン,SEWAGE,34.0,水平管,1,0.297
2FL,D 47,M121_Dドレン,SEWAGE,34.0,水平管,1,0.741
2FL,D 48,M121_Dドレン,SEWAGE,34.0,水平管,1,0.741
2FL,D 49,M121_Dドレン,SEWAGE,48.6,水平管,2,5.189
2FL,X 10,P051_X屋内消火栓,FIREPROTECTION,76.3,水平管,4,10.93
2FL,X 20,P051_X屋内消火栓,FIREPROTECTION,76.3,水平管,1,2.42
2FL,X 3,P051_X屋内消火栓,FIREPROTECTION,76.3,立管,1,2.896
2FL,X 9,P051_X屋内消火栓,FIREPROTECTION,76.3,水平管,1,0.381
3FL,CH 9,M031_CH冷温水(往),HEATING,76.3,水平管,1,0.099
3FL,CHR 9,M032_CHR冷温水(還),HEATING,76.3,水平管,1,0.111
3FL,－ 11,M112_W加湿給水,DOMESTICCOLDWATER,27.2,水平管,1,0.146
3FL,X 11,P051_X屋内消火栓,FIREPROTECTION,76.3,水平管,1,0.381
3FL,X 12,P051_X屋内消火栓,FIREPROTECTION,76.3,水平管,5,13.388
3FL,X 12,P051_X屋内消火栓,FIREPROTECTION,76.3,立管,1,2.973
4FL,CH 7,M031_CH冷温水(往),HEATING,76.3,水平管,1,0.109
4FL,CHR 6,M032_CHR冷温水(還),HEATING,76.3,水平管,1,0.121
4FL,R 16,M091_R冷媒2way,HEATING,100.0,水平管,9,22.268
4FL,R 17,M091_R冷媒2way,HEATING,100.0,水平管,2,1.457
4FL,－ 11,M112_W加湿給水,DOMESTICCOLDWATER,27.2,水平管,1,0.156
4FL,－ 11,M112_W加湿給水,DOMESTICCOLDWATER,42.7,立管,1,0.162
4FL,D 24,M121_Dドレン,SEWAGE,60.5,立管,2,15.09
4FL,D 34,M121_Dドレン,SEWAGE,34.0,水平管,1,0.219
4FL,D 39,M121_Dドレン,SEWAGE,34.0,水平管,1,0.224
4FL,D 40,M121_Dドレン,SEWAGE,48.6,水平管,1,2.821
4FL,D 41,M121_Dドレン,SEWAGE,48.6,水平管,1,3.005
4FL,D 43,M121_Dドレン,SEWAGE,34.0,水平管,1,0.741
4FL,D 44,M121_Dドレン,SEWAGE,60.5,水平管,1,0.107
4FL,D 45,M121_Dドレン,SEWAGE,34.0,水平管,1,0.741
4FL,D 46,M121_Dドレン,SEWAGE,48.6,水平管,1,1.925
4FL,D 46,M121_Dドレン,SEWAGE,60.5,水平管,1,0.259
4FL,X 13,P051_X屋内消火栓,FIREPROTECTION,76.3,水平管,1,0.381
4FL,X 14,P051_X屋内消火栓,FIREPROTECTION,76.3,水平管,5,12.074
4FL,X 14,P051_X屋内消火栓,FIREPROTECTION,76.3,立管,1,2.973
5FL,OR 1,E_OR油(還),USERDEFINED,21.7,水平管,5,3.424
5FL,OR 1,E_OR油(還),USERDEFINED,21.7,立管,2,0.492
5FL,O 1,E_O油(往),USERDEFINED,21.7,水平管,4,2.586
5FL,O 1,E_O油(往),USERDEFINED,21.7,立管,2,0.492
5FL,O 2,E_O油(往),USERDEFINED,21.7,水平管,6,5.384
5FL,O 2,E_O油(往),USERDEFINED,21.7,立管,3,16.938
5FL,C 10,M011_C冷水(往),HEATING,114.3,水平管,1,1.085
5FL,C 5,M011_C冷水(往),HEATING,114.3,水平管,1,1.164
5FL,C 6,M011_C冷水(往),HEATING,60.5,水平管,1,1.434
5FL,C 7,M011_C冷水(往),HEATING,60.5,水平管,1,1.434
5FL,C 8,M011_C冷水(往),HEATING,114.3,水平管,1,0.999
5FL,C 9,M011_C冷水(往),HEATING,114.3,水平管,1,10.306
5FL,CR 1,M012_CR冷水(還),HEATING,114.3,水平管,1,1.164
5FL,CR 5,M012_CR冷水(還),HEATING,60.5,水平管,1,1.084
5FL,CR 5,M012_CR冷水(還),HEATING,114.3,水平管,1,1.085
5FL,CR 6,M012_CR冷水(還),HEATING,60.5,水平管,1,1.084
5FL,CR 6,M012_CR冷水(還),HEATING,114.3,水平管,1,0.569
5FL,CR 7,M012_CR冷水(還),HEATING,114.3,水平管,1,10.646
5FL,CH 3,M031_CH冷温水(往),HEATING,60.5,立管,1,4.227
5FL,CH 3,M031_CH冷温水(往),HEATING,76.3,立管,1,3.828
5FL,CH 3,M031_CH冷温水(往),HEATING,89.1,立管,1,3.815
5FL,CH 7,M031_CH冷温水(往),HEATING,114.3,立管,1,1.71
5FL,CHR 2,M032_CHR冷温水(還),HEATING,60.5,立管,1,4.227
5FL,CHR 2,M032_CHR冷温水(還),HEATING,76.3,立管,1,3.828
5FL,CHR 2,M032_CHR冷温水(還),HEATING,89.1,立管,1,3.815
5FL,CHR 6,M032_CHR冷温水(還),HEATING,114.3,立管,1,1.71
5FL,R 1,M091_R冷媒2way,HEATING,100.0,立管,1,14.296
5FL,R 18,M091_R冷媒2way,HEATING,100.0,水平管,4,21.715
5FL,R 19,M091_R冷媒2way,HEATING,100.0,水平管,5,18.716
5FL,R 2,M091_R冷媒2way,HEATING,100.0,立管,1,2.096
5FL,R 20,M091_R冷媒2way,HEATING,100.0,水平管,4,19.741
5FL,R 21,M091_R冷媒2way,HEATING,100.0,水平管,5,20.725
5FL,R 3,M091_R冷媒2way,HEATING,100.0,立管,1,14.296
5FL,R 4,M091_R冷媒2way,HEATING,100.0,立管,1,10.296
5FL,－ 11,M112_W加湿給水,DOMESTICCOLDWATER,42.7,立管,3,12.072
5FL,D 3,M121_Dドレン,SEWAGE,76.3,立管,2,13.888
5FL,－ 19,P011_W上水,DOMESTICCOLDWATER,34.0,水平管,3,0.867
5FL,－ 239,P011_W上水,DOMESTICCOLDWATER,34.0,水平管,2,0.685
5FL,－ 240,P011_W上水,DOMESTICCOLDWATER,34.0,水平管,1,0.45
5FL,－ 25,P011_W上水,DOMESTICCOLDWATER,34.0,水平管,1,0.276
5FL,P022_D雑排水 145,P022_D雑排水,SEWAGE,48.6,水平管,4,2.088
5FL,P022_D雑排水 148,P022_D雑排水,SEWAGE,60.5,立管,1,0.2
5FL,P031_V通気 1,P031_V通気,VENT,60.5,水平管,1,0.214
5FL,P031_V通気 1,P031_V通気,VENT,76.3,水平管,1,0.195
5FL,P031_V通気 1,P031_V通気,VENT,114.3,水平管,1,1.62
5FL,P031_V通気 1,P031_V通気,VENT,152.4,水平管,2,0.32
5FL,P031_V通気 7,P031_V通気,VENT,114.3,水平管,1,0.544
5FL,P031_V通気 2 | ) 1,P031_V通気 | P021_D汚水,VENT | SEWAGE,114.3,立管,1,1.516
5FL,X 15,P051_X屋内消火栓,FIREPROTECTION,48.6,水平管,1,0.98
5FL,X 5,P051_X屋内消火栓,FIREPROTECTION,48.6,水平管,3,1.858
PIT,－ 2,P011_W上水,DOMESTICCOLDWATER,60.5,立管,7,14.256
PIT,) 1,P021_D汚水,SEWAGE,114.3,立管,2,16.355
PIT,P022_D雑排水 1,P022_D雑排水,SEWAGE,76.3,立管,1,15.825
PIT,PU 1,P024_Dポンプアップ排水,SEWAGE,60.5,立管,1,1.647
PIT,PU 10,P024_Dポンプアップ排水,SEWAGE,60.5,立管,1,1.647
PIT,PU 2,P024_Dポンプアップ排水,SEWAGE,60.5,立管,1,1.647
PIT,PU 9,P024_Dポンプアップ排水,SEWAGE,60.5,立管,1,1.647
PIT,P031_V通気 2,P031_V通気,VENT,60.5,立管,3,17.484
PIT,P031_V通気 2,P031_V通気,VENT,76.3,立管,4,19.355
PIT,X 2,P051_X屋内消火栓,FIREPROTECTION,34.0,立管,1,21.0
